judul,deskripsi,tanggal,link
Teknologi Informasi & Komunikasi,Menyebutkan Dan Menjelaskan Kemampuan Penggunaan Aplikasi Komputer Yang Wajib Dikuasai Oleh Seorang Guru Atau Pendidik Dikumpulkan Dalam Bentuk Soft File.,2025-10-08 Sebelum Jam 12 Malam,https://drive.google.com/drive/folders/1-0kDwGKTJskdxKJk3MlDbH6ZFQf7qc7C
Etika Jawa,Sebutkan macam macam etika dan atau etiket yang dimiliki oleh orang jawa (Minimal menyebutkan 1 contoh),2025-10-09,
